price,type,address,url,agent_url,date_available_list,postcode,number_bedrooms,search_date
1400,1 bedroom flat,"Wedmore Gardens, London , N19",http://www.rightmove.co.uk/property-to-rent/property-79744276.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,2020-05-18,N19,1,2020-05-17 16:10:54.329688
1517,1 bedroom flat,"Union Square, London, N1",http://www.rightmove.co.uk/property-to-rent/property-92322020.html,http://www.rightmove.co.uk/estate-agents/agent/Daniel-Rose-Residential-Ltd/London-33048.html,2020-05-18,N1,1,2020-05-17 16:10:54.329688
1500,1 bedroom apartment,"Carriage House, 10 City North, Finsbury Park, N4",http://www.rightmove.co.uk/property-to-rent/property-68354874.html,http://www.rightmove.co.uk/estate-agents/agent/Life-Residential/North-London-Branch--lettings-73228.html,1111-01-01,N4,1,2020-05-17 16:10:54.329688
1625,1 bedroom property,"Tufnell Park Road, London, N7",http://www.rightmove.co.uk/property-to-rent/property-79573903.html,http://www.rightmove.co.uk/estate-agents/agent/Marsh-and-Parsons/Tufnell-Park-153443.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1575,1 bedroom flat,"Blandford Court, London, N1",http://www.rightmove.co.uk/property-to-rent/property-79641628.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1111-01-01,N1,1,2020-05-17 16:10:54.329688
1452,Studio flat,"York Way, Kings Cross, N1",http://www.rightmove.co.uk/property-to-rent/property-69330666.html,http://www.rightmove.co.uk/estate-agents/agent/Greater-London-Properties/Bloomsbury-153329.html,1111-01-01,N1,0,2020-05-17 16:10:54.329688
1750,1 bedroom flat,"Rotherfield Street, London, N1",http://www.rightmove.co.uk/property-to-rent/property-79659340.html,http://www.rightmove.co.uk/estate-agents/agent/OpenRent/London-96668.html,1111-01-01,N1,1,2020-05-17 16:10:54.329688
1500,1 bedroom apartment,"Kelvin Road, London, N5",http://www.rightmove.co.uk/property-to-rent/property-79696408.html,http://www.rightmove.co.uk/estate-agents/agent/Reliable-Homes/London-140672.html,1111-01-01,N5,1,2020-05-17 16:10:54.329688
1400,1 bedroom apartment,"Mayton Street, London, N7",http://www.rightmove.co.uk/property-to-rent/property-79682164.html,http://www.rightmove.co.uk/estate-agents/agent/Drivers-and-Norris/Islington--Lettings-54616.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1690,1 bedroom apartment,"Queensland Road, London, N7",http://www.rightmove.co.uk/property-to-rent/property-92241407.html,http://www.rightmove.co.uk/estate-agents/agent/Right-Now-Residential/London-49959.html,1111-01-01,N7,1,2020-05-17 16:10:54.329688
1650,1 bedroom apartment,"Carronade Court, Eden Grove, Holloway",http://www.rightmove.co.uk/property-to-rent/property-91616369.html,http://www.rightmove.co.uk/estate-agents/agent/Alex-Crown-Lettings-and-Estate-Agents/London-102122.html,1111-01-01,,1,2020-05-17 16:10:54.329688
1450,1 bedroom flat,"Holloway Road, Holloway, London",http://www.rightmove.co.uk/property-to-rent/property-79693642.html,http://www.rightmove.co.uk/estate-agents/agent/David-Astburys-Ltd/London-176261.html,1111-01-01,,1,2020-05-17 16:10:54.329688
1452,Studio flat,"York Way, Kings Cross, N1",http://www.rightmove.co.uk/property-to-rent/property-69330666.html,http://www.rightmove.co.uk/estate-agents/agent/Greater-London-Properties/Bloomsbury-153329.html,1111-01-01,N1,0,2020-05-17 16:10:54.329688
